name,KO,genome,sign,protein,E-value
nifD,K02586,GCF_003722355.1,*,WP_018406757.1,7.30E-220
nifH,K02588,GCF_003722355.1,*,WP_123174903.1,1.00E-144
nifK,K02591,GCF_003722355.1,*,WP_123174904.1,3.40E-194
nifE,K02587,GCF_003722355.1,*,WP_123174905.1,5.20E-262
nifN,K02592,GCF_003722355.1,*,WP_123174906.1,7.50E-199
nifB,K02585,GCF_003722355.1,*,WP_123177378.1,1.00E-219
nifH,K02588,GCF_003725415.1,*,WP_128519275.1,4.20E-122
nifH,K02588,GCF_003725415.1,*,WP_128519282.1,2.60E-117
nifH,K02588,GCF_003726035.1,*,WP_123192396.1,4.80E-124
nifH,K02588,GCF_003752155.1,*,WP_123608172.1,2.30E-128
nifB,K02585,GCF_003752155.1,*,WP_123608961.1,3.90E-172
nifN,K02592,GCF_003752155.1,*,WP_123608961.1,4.60E-155
nifK,K02591,GCF_003752155.1,*,WP_123608963.1,2.20E-168
nifD,K02586,GCF_003752155.1,*,WP_123608964.1,1.60E-196
nifH,K02588,GCF_003752155.1,*,WP_123608967.1,8.60E-150
nifH,K02588,GCF_003752155.1,*,WP_123609389.1,8.90E-152
nifB,K02585,GCF_003752155.1,*,WP_123609391.1,3.40E-114
nifE,K02587,GCF_003752155.1,*,WP_207667762.1,1.30E-177
nifB,K02585,GCF_003814835.1,*,WP_069574804.1,9.40E-125
nifH,K02588,GCF_003814835.1,*,WP_069575422.1,2.10E-124
nifH,K02588,GCF_003815015.1,*,WP_123927773.1,5.70E-142
nifD,K02586,GCF_003815015.1,*,WP_123927781.1,4.20E-168
nifK,K02591,GCF_003815015.1,*,WP_123927784.1,2.00E-154
nifB,K02585,GCF_003815015.1,*,WP_123927790.1,6.30E-129
nifB,K02585,GCF_003815015.1,*,WP_170157679.1,1.80E-77
nifB,K02585,GCF_003838225.1,*,WP_124143221.1,2.50E-204
nifH,K02588,GCF_003838225.1,*,WP_124143224.1,2.00E-146
nifD,K02586,GCF_003838225.1,*,WP_124143225.1,7.20E-208
nifK,K02591,GCF_003838225.1,*,WP_124143226.1,7.60E-186
nifE,K02587,GCF_003838225.1,*,WP_124146409.1,4.90E-275
nifN,K02592,GCF_003838225.1,*,WP_124146409.1,1.80E-182
nifH,K02588,GCF_003851005.1,*,WP_124328992.1,2.30E-147
nifK,K02591,GCF_003851005.1,*,WP_124328995.1,7.20E-166
nifE,K02587,GCF_003851005.1,*,WP_124328996.1,8.10E-178
nifN,K02592,GCF_003851005.1,*,WP_124328997.1,6.10E-174
nifB,K02585,GCF_003851005.1,*,WP_124328998.1,1.40E-167
nifD,K02586,GCF_003851005.1,*,WP_208022583.1,7.30E-200
nifB,K02585,GCF_003851125.1,*,WP_124704016.1,8.40E-215
nifH,K02588,GCF_003851125.1,*,WP_124704039.1,5.00E-148
nifD,K02586,GCF_003851125.1,*,WP_124704040.1,1.30E-214
nifK,K02591,GCF_003851125.1,*,WP_124704041.1,9.20E-195
nifE,K02587,GCF_003851125.1,*,WP_124704043.1,1.10E-252
nifN,K02592,GCF_003851125.1,*,WP_124704044.1,5.20E-201
nifH,K02588,GCF_003854965.1,*,WP_124693690.1,3.40E-148
nifH,K02588,GCF_003854965.1,*,WP_124694341.1,1.80E-136
nifB,K02585,GCF_003854965.1,*,WP_124695108.1,2.50E-187
nifH,K02588,GCF_003854965.1,*,WP_124695109.1,2.30E-146
nifD,K02586,GCF_003854965.1,*,WP_124695110.1,5.30E-206
nifK,K02591,GCF_003854965.1,*,WP_124695111.1,1.20E-176
nifE,K02587,GCF_003854965.1,*,WP_124695112.1,7.30E-201
nifN,K02592,GCF_003854965.1,*,WP_124695113.1,1.80E-150
nifH,K02588,GCF_003854965.1,*,WP_124697082.1,5.30E-127
nifH,K02588,GCF_003854965.1,*,WP_124697823.1,1.50E-146
nifB,K02585,GCF_003854965.1,*,WP_246014052.1,3.50E-174
nifB,K02585,GCF_003854965.1,*,WP_246014054.1,3.60E-171
nifH,K02588,GCF_003856525.1,*,WP_124938090.1,2.50E-151
nifD,K02586,GCF_003856525.1,*,WP_124938091.1,4.60E-207
nifK,K02591,GCF_003856525.1,*,WP_124938092.1,1.20E-186
nifE,K02587,GCF_003856525.1,*,WP_124938096.1,1.60E-208
nifN,K02592,GCF_003856525.1,*,WP_124938097.1,2.30E-158
nifB,K02585,GCF_003856525.1,*,WP_124938119.1,3.00E-177
nifB,K02585,GCF_003863365.1,*,WP_125004304.1,2.10E-201
nifH,K02588,GCF_003863365.1,*,WP_125004355.1,3.30E-145
nifD,K02586,GCF_003863365.1,*,WP_125004357.1,8.20E-211
nifK,K02591,GCF_003863365.1,*,WP_125004359.1,5.50E-192
nifE,K02587,GCF_003863365.1,*,WP_125004361.1,5.60E-241
nifN,K02592,GCF_003863365.1,*,WP_125004363.1,6.60E-193
nifK,K02591,GCF_003863965.1,*,WP_128634030.1,1.20E-176
nifD,K02586,GCF_003863965.1,*,WP_128634031.1,2.10E-203
nifH,K02588,GCF_003863965.1,*,WP_128634032.1,4.80E-146
nifB,K02585,GCF_003863965.1,*,WP_128634033.1,9.20E-178
nifN,K02592,GCF_003863965.1,*,WP_246061801.1,1.20E-160
nifE,K02587,GCF_003863965.1,*,WP_246061802.1,6.20E-200
nifB,K02585,GCF_003864255.1,*,WP_125017065.1,3.00E-203
nifN,K02592,GCF_003864255.1,*,WP_125017117.1,8.70E-180
nifE,K02587,GCF_003864255.1,*,WP_125017119.1,4.80E-225
nifK,K02591,GCF_003864255.1,*,WP_125017132.1,7.60E-184
nifD,K02586,GCF_003864255.1,*,WP_125017134.1,1.90E-209
nifH,K02588,GCF_003864255.1,*,WP_125017136.1,4.70E-151
nifN,K02592,GCF_003864295.1,*,WP_124976478.1,3.80E-185
nifE,K02587,GCF_003864295.1,*,WP_124976480.1,4.30E-239
nifK,K02591,GCF_003864295.1,*,WP_124976482.1,7.50E-191
nifD,K02586,GCF_003864295.1,*,WP_124976484.1,1.70E-210
nifH,K02588,GCF_003864295.1,*,WP_124976486.1,1.40E-147
nifB,K02585,GCF_003864295.1,*,WP_124976496.1,4.00E-206
nifH,K02588,GCF_003925875.1,*,WP_125119243.1,1.10E-118
nifH,K02588,GCF_003932015.1,*,WP_012301305.1,2.10E-143
nifD,K02586,GCF_003932015.1,*,WP_012301308.1,1.60E-170
nifK,K02591,GCF_003932015.1,*,WP_012301309.1,9.40E-154
nifB,K02585,GCF_003932015.1,*,WP_012301311.1,8.00E-125
nifH,K02588,GCF_003939025.1,*,WP_004675840.1,3.50E-146
nifB,K02585,GCF_003939025.1,*,WP_011053432.1,1.40E-200
nifN,K02592,GCF_003939025.1,*,WP_012489543.1,4.70E-189
nifE,K02587,GCF_003939025.1,*,WP_012489544.1,3.50E-243
nifK,K02591,GCF_003939025.1,*,WP_018247184.1,1.90E-192
nifE,K02587,GCF_003939025.1,*,WP_125864900.1,1.70E-230
nifD,K02586,GCF_003939025.1,*,WP_125864902.1,5.00E-212
nifN,K02592,GCF_003944755.1,*,WP_125403592.1,1.40E-177
nifE,K02587,GCF_003944755.1,*,WP_125403593.1,5.00E-247
nifK,K02591,GCF_003944755.1,*,WP_125403594.1,2.70E-188
nifD,K02586,GCF_003944755.1,*,WP_125403595.1,1.10E-210
nifH,K02588,GCF_003944755.1,*,WP_125403596.1,1.80E-145
nifB,K02585,GCF_003944755.1,*,WP_125403602.1,1.30E-198
nifH,K02588,GCF_003945365.1,*,WP_021717843.1,9.00E-131
nifH,K02588,GCF_003945365.1,*,WP_231997881.1,2.40E-138
nifH,K02588,GCF_003946725.1,*,WP_125715009.1,4.70E-115
nifE,K02587,GCF_003966655.1,*,WP_113525794.1,3.80E-249
nifH,K02588,GCF_003966655.1,*,WP_113525799.1,4.90E-147
nifB,K02585,GCF_003966655.1,*,WP_113525804.1,5.10E-219
nifN,K02592,GCF_003966655.1,*,WP_126605246.1,2.80E-194
nifK,K02591,GCF_003966655.1,*,WP_126605248.1,2.80E-189
nifD,K02586,GCF_003966655.1,*,WP_126605249.1,1.20E-203
nifK,K02591,GCF_003966715.1,*,WP_126397529.1,5.40E-154
nifD,K02586,GCF_003966715.1,*,WP_126397531.1,1.60E-172
nifH,K02588,GCF_003966715.1,*,WP_126397533.1,2.70E-141
nifB,K02585,GCF_003966715.1,*,WP_126398414.1,1.90E-195
nifH,K02588,GCF_003966715.1,*,WP_126398426.1,2.90E-147
nifD,K02586,GCF_003966715.1,*,WP_126398428.1,3.70E-208
nifK,K02591,GCF_003966715.1,*,WP_126398430.1,1.40E-190
nifE,K02587,GCF_003966715.1,*,WP_126398432.1,1.60E-233
nifN,K02592,GCF_003966715.1,*,WP_126398434.1,2.10E-190
anfG,K00531,GCF_003966715.1,*,WP_244600090.1,1.10E-56
nifB,K02585,GCF_003966735.1,*,WP_126378110.1,1.00E-166
nifN,K02592,GCF_003966735.1,*,WP_126378112.1,2.80E-179
nifE,K02587,GCF_003966735.1,*,WP_126378114.1,4.20E-174
nifB,K02585,GCF_003966735.1,*,WP_126378120.1,1.60E-93
nifK,K02591,GCF_003966735.1,*,WP_126378122.1,5.60E-174
nifD,K02586,GCF_003966735.1,*,WP_126378125.1,1.50E-197
nifH,K02588,GCF_003966735.1,*,WP_126378131.1,5.00E-145
nifH,K02588,GCF_003966895.1,*,WP_126305741.1,7.60E-138
nifH,K02588,GCF_003966895.1,*,WP_126305788.1,2.60E-130
nifB,K02585,GCF_003966895.1,*,WP_126306090.1,2.00E-166
nifK,K02591,GCF_003966895.1,*,WP_126306096.1,1.90E-153
vnfG,K22898,GCF_003966895.1,*,WP_126306098.1,3.70E-50
nifD,K02586,GCF_003966895.1,*,WP_126306100.1,8.50E-167
nifH,K02588,GCF_003966895.1,*,WP_126306106.1,2.10E-141
nifK,K02591,GCF_003966895.1,*,WP_126306434.1,1.80E-154
nifD,K02586,GCF_003966895.1,*,WP_126306438.1,7.90E-177
nifH,K02588,GCF_003966895.1,*,WP_126306440.1,6.50E-140
nifB,K02585,GCF_003966895.1,*,WP_126308192.1,7.60E-153
nifH,K02588,GCF_003966895.1,*,WP_126308974.1,9.80E-149
nifD,K02586,GCF_003966895.1,*,WP_126308975.1,5.90E-204
nifK,K02591,GCF_003966895.1,*,WP_126308976.1,5.70E-174
nifN,K02592,GCF_003966895.1,*,WP_126308979.1,2.00E-167
nifE,K02587,GCF_003966895.1,*,WP_232035452.1,7.10E-181
nifB,K02585,GCF_003966895.1,*,WP_232035453.1,6.90E-168
anfG,K00531,GCF_003966895.1,*,WP_232035637.1,3.30E-59
nifB,K02585,GCF_003966895.1,*,WP_232035774.1,1.60E-175
nifH,K02588,GCF_003968655.1,*,WP_011890578.1,2.70E-149
nifD,K02586,GCF_003968655.1,*,WP_011890581.1,8.10E-201
nifK,K02591,GCF_003968655.1,*,WP_011890582.1,1.10E-171
nifE,K02587,GCF_003968655.1,*,WP_011890583.1,8.20E-178
nifN,K02592,GCF_003968655.1,*,WP_011890584.1,1.00E-176
nifB,K02585,GCF_003968655.1,*,WP_011890585.1,1.20E-165
nifB,K02585,GCF_003985145.1,*,WP_127431407.1,9.90E-191
nifH,K02588,GCF_003985145.1,*,WP_127431682.1,6.60E-146
nifD,K02586,GCF_003985145.1,*,WP_127431683.1,6.30E-209
nifK,K02591,GCF_003985145.1,*,WP_127431684.1,1.50E-185
nifE,K02587,GCF_003985145.1,*,WP_127431685.1,9.80E-224
nifN,K02592,GCF_003985145.1,*,WP_127431686.1,2.50E-176
nifH,K02588,GCF_003985155.1,*,WP_004675840.1,3.80E-146
nifK,K02591,GCF_003985155.1,*,WP_004677342.1,1.80E-192
nifE,K02587,GCF_003985155.1,*,WP_011053415.1,7.70E-242
nifB,K02585,GCF_003985155.1,*,WP_011053432.1,1.50E-200
nifN,K02592,GCF_003985155.1,*,WP_097603744.1,6.20E-188
nifD,K02586,GCF_003985155.1,*,WP_126907100.1,5.20E-212
nifH,K02588,GCF_003989665.1,*,WP_126996253.1,6.10E-148
nifD,K02586,GCF_003989665.1,*,WP_126996255.1,7.70E-212
nifK,K02591,GCF_003989665.1,*,WP_126996257.1,6.10E-187
nifE,K02587,GCF_003989665.1,*,WP_126996261.1,7.00E-238
nifN,K02592,GCF_003989665.1,*,WP_126996263.1,1.70E-188
nifB,K02585,GCF_003989665.1,*,WP_211098907.1,2.30E-206
nifH,K02588,GCF_003992065.1,*,WP_040771387.1,2.40E-138
nifH,K02588,GCF_003992115.1,*,WP_127058535.1,2.60E-140
nifH,K02588,GCF_003992725.1,*,WP_127076529.1,1.40E-133
nifH,K02588,GCF_003992725.1,*,WP_127076729.1,5.10E-139
nifD,K02586,GCF_003992725.1,*,WP_127076730.1,1.10E-178
nifK,K02591,GCF_003992725.1,*,WP_127076731.1,1.00E-153
nifH,K02588,GCF_003992725.1,*,WP_127077089.1,4.10E-146
nifD,K02586,GCF_003992725.1,*,WP_127077090.1,4.80E-215
nifK,K02591,GCF_003992725.1,*,WP_127077091.1,1.90E-192
nifE,K02587,GCF_003992725.1,*,WP_127077092.1,1.00E-252
nifN,K02592,GCF_003992725.1,*,WP_127077093.1,1.70E-201
nifH,K02588,GCF_003992725.1,*,WP_127079012.1,1.30E-127
nifB,K02585,GCF_003992725.1,*,WP_127079841.1,8.70E-218
nifB,K02585,GCF_003992725.1,*,WP_245433951.1,6.40E-122
anfG,K00531,GCF_003992725.1,*,WP_245433967.1,7.40E-59
nifN,K02592,GCF_003993795.1,*,WP_127088130.1,1.40E-191
nifE,K02587,GCF_003993795.1,*,WP_127088131.1,1.90E-240
nifK,K02591,GCF_003993795.1,*,WP_127088132.1,5.10E-188
nifD,K02586,GCF_003993795.1,*,WP_127088133.1,2.30E-212
nifH,K02588,GCF_003993795.1,*,WP_127088134.1,2.40E-147
nifB,K02585,GCF_003993795.1,*,WP_127088143.1,5.60E-204
nifK,K02591,GCF_003994235.2,*,WP_127029492.1,8.90E-144
vnfG,K22898,GCF_003994235.2,*,WP_127029493.1,2.50E-47
nifH,K02588,GCF_003994235.2,*,WP_127029521.1,1.40E-149
nifD,K02586,GCF_003994235.2,*,WP_127029522.1,2.10E-216
nifK,K02591,GCF_003994235.2,*,WP_127029523.1,1.90E-188
nifE,K02587,GCF_003994235.2,*,WP_127029538.1,7.50E-229
nifB,K02585,GCF_003994235.2,*,WP_127029596.1,3.50E-209
nifN,K02592,GCF_003994235.2,*,WP_143733274.1,6.40E-184
nifN,K02592,GCF_003994235.2,*,WP_143733285.1,5.60E-179
nifE,K02587,GCF_003994235.2,*,WP_143733286.1,7.20E-212
nifN,K02592,GCF_003994475.1,*,WP_127191910.1,9.30E-150
nifE,K02587,GCF_003994475.1,*,WP_127191911.1,3.40E-199
nifK,K02591,GCF_003994475.1,*,WP_127191912.1,2.30E-179
nifD,K02586,GCF_003994475.1,*,WP_127191913.1,1.70E-203
nifH,K02588,GCF_003994475.1,*,WP_127191914.1,6.90E-147
nifB,K02585,GCF_003994475.1,*,WP_127191915.1,1.80E-186
nifH,K02588,GCF_003999255.1,*,WP_013433018.1,1.30E-149
nifD,K02586,GCF_003999255.1,*,WP_039767379.1,1.30E-189
nifB,K02585,GCF_003999255.1,*,WP_127352776.1,2.10E-118
nifK,K02591,GCF_003999255.1,*,WP_127352778.1,2.30E-155
nifK,K02591,GCF_004001245.1,*,WP_127477633.1,1.80E-186
nifD,K02586,GCF_004001245.1,*,WP_127477634.1,2.20E-213
nifH,K02588,GCF_004001245.1,*,WP_127477635.1,1.20E-152
nifB,K02585,GCF_004001245.1,*,WP_127477644.1,7.40E-207
nifN,K02592,GCF_004001245.1,*,WP_127477672.1,7.50E-192
nifE,K02587,GCF_004001245.1,*,WP_127477673.1,3.50E-226
nifB,K02585,GCF_004011805.1,*,WP_128000713.1,3.30E-213
nifH,K02588,GCF_004011805.1,*,WP_128000732.1,4.30E-147
nifD,K02586,GCF_004011805.1,*,WP_128000733.1,1.10E-213
nifK,K02591,GCF_004011805.1,*,WP_128000734.1,3.60E-187
nifE,K02587,GCF_004011805.1,*,WP_128000739.1,2.10E-250
nifN,K02592,GCF_004011805.1,*,WP_128000740.1,1.20E-194
nifK,K02591,GCF_004015185.1,*,WP_128214354.1,2.00E-173
nifD,K02586,GCF_004015185.1,*,WP_128214355.1,3.80E-196
nifH,K02588,GCF_004015185.1,*,WP_128214358.1,6.80E-149
nifB,K02585,GCF_004015185.1,*,WP_238475841.1,1.20E-170
nifN,K02592,GCF_004015185.1,*,WP_238475841.1,1.90E-160
nifE,K02587,GCF_004015185.1,*,WP_238476054.1,3.90E-182
nifN,K02592,GCF_004022285.3,*,WP_128266456.1,4.10E-197
nifE,K02587,GCF_004022285.3,*,WP_128266457.1,2.80E-252
nifK,K02591,GCF_004022285.3,*,WP_128266458.1,3.20E-194
nifD,K02586,GCF_004022285.3,*,WP_128266459.1,1.20E-216
nifH,K02588,GCF_004022285.3,*,WP_128266554.1,7.50E-148
nifB,K02585,GCF_004022285.3,*,WP_153227277.1,1.30E-212
nifH,K02588,GCF_004023665.1,*,WP_092811147.1,1.20E-146
nifD,K02586,GCF_004023665.1,*,WP_128291593.1,2.10E-211
nifK,K02591,GCF_004023665.1,*,WP_128291594.1,6.60E-188
nifE,K02587,GCF_004023665.1,*,WP_128291595.1,3.20E-233
nifN,K02592,GCF_004023665.1,*,WP_128291596.1,7.00E-185
nifB,K02585,GCF_004023665.1,*,WP_128291866.1,8.30E-204
nifB,K02585,GCF_004087915.1,*,WP_128466267.1,1.50E-150
nifN,K02592,GCF_004087915.1,*,WP_128466937.1,3.40E-146
nifE,K02587,GCF_004087915.1,*,WP_128466938.1,5.90E-186
nifK,K02591,GCF_004087915.1,*,WP_128466940.1,2.20E-174
nifD,K02586,GCF_004087915.1,*,WP_128466941.1,2.60E-191
nifH,K02588,GCF_004087915.1,*,WP_128466942.1,4.10E-150
nifH,K02588,GCF_004102725.1,*,WP_128693078.1,1.70E-139
nifH,K02588,GCF_004102725.1,*,WP_128693519.1,8.70E-146
nifD,K02586,GCF_004102725.1,*,WP_128693522.1,8.70E-192
nifK,K02591,GCF_004102725.1,*,WP_128693523.1,4.00E-166
nifE,K02587,GCF_004102725.1,*,WP_128693524.1,8.80E-175
nifN,K02592,GCF_004102725.1,*,WP_128693525.1,4.90E-162
nifB,K02585,GCF_004102725.1,*,WP_128693531.1,1.50E-145
nifH,K02588,GCF_004102745.1,*,WP_069195911.1,1.90E-134
nifB,K02585,GCF_004102745.1,*,WP_083225266.1,3.20E-119
nifH,K02588,GCF_004103735.1,*,WP_230975019.1,2.40E-177
nifN,K02592,GCF_004114535.1,*,WP_128947965.1,2.40E-194
nifE,K02587,GCF_004114535.1,*,WP_128947966.1,9.50E-250
nifK,K02591,GCF_004114535.1,*,WP_128947967.1,2.90E-193
nifD,K02586,GCF_004114535.1,*,WP_128947968.1,1.50E-216
nifH,K02588,GCF_004114535.1,*,WP_128948000.1,7.20E-147
nifB,K02585,GCF_004114535.1,*,WP_164937317.1,3.90E-208
nifH,K02588,GCF_004114915.1,*,WP_128927677.1,3.20E-147
nifN,K02592,GCF_004114915.1,*,WP_128927709.1,4.90E-196
nifE,K02587,GCF_004114915.1,*,WP_128927710.1,6.60E-260
nifK,K02591,GCF_004114915.1,*,WP_128927711.1,2.20E-196
nifD,K02586,GCF_004114915.1,*,WP_128927712.1,9.00E-219
nifD,K02586,GCF_004114915.1,*,WP_128929919.1,2.60E-214
nifK,K02591,GCF_004114915.1,*,WP_128929920.1,3.20E-193
nifE,K02587,GCF_004114915.1,*,WP_128929921.1,3.50E-237
nifN,K02592,GCF_004114915.1,*,WP_128929922.1,1.00E-192
nifB,K02585,GCF_004114915.1,*,WP_128929927.1,7.00E-208
nifH,K02588,GCF_004114915.1,*,WP_128929930.1,6.80E-147
nifB,K02585,GCF_004114915.1,*,WP_164937951.1,2.50E-218
nifH,K02588,GCF_004114935.1,*,WP_027571409.1,2.20E-147
nifK,K02591,GCF_004114935.1,*,WP_128931785.1,6.00E-193
nifE,K02587,GCF_004114935.1,*,WP_128931786.1,2.40E-251
nifN,K02592,GCF_004114935.1,*,WP_128931787.1,3.80E-196
nifD,K02586,GCF_004114935.1,*,WP_128937189.1,1.20E-216
nifB,K02585,GCF_004114935.1,*,WP_164940914.1,2.30E-213
nifD,K02586,GCF_004114955.1,*,WP_128929919.1,2.50E-214
nifK,K02591,GCF_004114955.1,*,WP_128929920.1,3.20E-193
nifE,K02587,GCF_004114955.1,*,WP_128929921.1,3.40E-237
nifN,K02592,GCF_004114955.1,*,WP_128929922.1,9.90E-193
nifB,K02585,GCF_004114955.1,*,WP_128929927.1,6.90E-208
nifH,K02588,GCF_004114955.1,*,WP_128929930.1,6.70E-147
nifD,K02586,GCF_004114975.1,*,WP_128929919.1,2.60E-214
nifK,K02591,GCF_004114975.1,*,WP_128929920.1,3.30E-193
nifE,K02587,GCF_004114975.1,*,WP_128929921.1,3.60E-237
nifN,K02592,GCF_004114975.1,*,WP_128929922.1,1.00E-192
nifB,K02585,GCF_004114975.1,*,WP_128929927.1,7.10E-208
nifH,K02588,GCF_004114975.1,*,WP_128929930.1,6.90E-147
nifB,K02585,GCF_004116335.1,*,WP_128995924.1,1.40E-185
nifH,K02588,GCF_004116335.1,*,WP_128995950.1,1.30E-139
nifD,K02586,GCF_004116335.1,*,WP_128995952.1,1.10E-205
nifK,K02591,GCF_004116335.1,*,WP_128995953.1,3.00E-175
nifE,K02587,GCF_004116335.1,*,WP_228126491.1,4.20E-171
nifN,K02592,GCF_004116335.1,*,WP_228126492.1,1.50E-152
nifB,K02585,GCF_004117875.1,*,WP_129125531.1,1.10E-130
nifE,K02587,GCF_004117875.1,*,WP_129125537.1,4.80E-259
nifN,K02592,GCF_004117875.1,*,WP_129125537.1,6.50E-168
nifK,K02591,GCF_004117875.1,*,WP_129125538.1,5.20E-175
nifD,K02586,GCF_004117875.1,*,WP_129125539.1,4.40E-201
nifH,K02588,GCF_004117875.1,*,WP_129125540.1,1.10E-151
nifB,K02585,GCF_004135935.1,*,WP_115834748.1,1.10E-219
nifN,K02592,GCF_004135935.1,*,WP_115834766.1,1.60E-200
nifE,K02587,GCF_004135935.1,*,WP_115834767.1,6.80E-261
nifK,K02591,GCF_004135935.1,*,WP_115834768.1,1.50E-192
nifD,K02586,GCF_004135935.1,*,WP_115834769.1,2.40E-219
nifH,K02588,GCF_004135935.1,*,WP_115834770.1,3.30E-145
nifB,K02585,GCF_004135975.1,*,WP_129351462.1,2.50E-162
nifN,K02592,GCF_004135975.1,*,WP_129351464.1,8.80E-182
nifE,K02587,GCF_004135975.1,*,WP_129351466.1,5.10E-180
nifK,K02591,GCF_004135975.1,*,WP_129352162.1,1.70E-165
nifD,K02586,GCF_004135975.1,*,WP_129352164.1,2.20E-197
nifH,K02588,GCF_004135975.1,*,WP_129352166.1,1.00E-148
nifB,K02585,GCF_004137855.1,*,WP_129598587.1,8.90E-151
nifK,K02591,GCF_004138135.1,*,WP_129630014.1,9.00E-154
nifN,K02592,GCF_004138135.1,*,WP_129630014.1,1.20E-147
nifD,K02586,GCF_004138135.1,*,WP_129630016.1,2.90E-170
nifB,K02585,GCF_004138135.1,*,WP_129630018.1,4.60E-132
nifH,K02588,GCF_004138135.1,*,WP_129630020.1,3.80E-143
nifD,K02586,GCF_004212215.1,*,WP_039727378.1,1.00E-201
nifH,K02588,GCF_004212215.1,*,WP_039727379.1,1.80E-152
nifK,K02591,GCF_004212215.1,*,WP_044151256.1,1.10E-183
nifB,K02585,GCF_004212215.1,*,WP_044151257.1,7.90E-211
nifE,K02587,GCF_004212215.1,*,WP_084607087.1,7.40E-268
nifN,K02592,GCF_004212215.1,*,WP_084607087.1,9.20E-185
nifH,K02588,GCF_004217115.1,*,WP_130305381.1,1.70E-167
nifN,K02592,GCF_004217225.1,*,WP_014235662.1,2.10E-194
nifH,K02588,GCF_004217225.1,*,WP_014236061.1,5.10E-148
nifD,K02586,GCF_004217225.1,*,WP_014236062.1,6.70E-216
nifK,K02591,GCF_004217225.1,*,WP_130459548.1,3.90E-188
nifB,K02585,GCF_004217225.1,*,WP_130459556.1,1.80E-214
nifE,K02587,GCF_004217225.1,*,WP_130459794.1,2.80E-249
nifD,K02586,GCF_004217665.1,*,WP_130470434.1,1.20E-203
nifK,K02591,GCF_004217665.1,*,WP_130470435.1,1.10E-181
nifE,K02587,GCF_004217665.1,*,WP_130471274.1,4.30E-205
nifB,K02585,GCF_004217665.1,*,WP_130471275.1,2.50E-137
nifN,K02592,GCF_004217665.1,*,WP_193771226.1,4.80E-165
nifH,K02588,GCF_004284785.1,*,WP_114336408.1,2.20E-149
nifD,K02586,GCF_004284785.1,*,WP_114336409.1,1.80E-211
nifK,K02591,GCF_004284785.1,*,WP_114336410.1,6.70E-180
nifE,K02587,GCF_004284785.1,*,WP_114336421.1,4.80E-209
nifN,K02592,GCF_004284785.1,*,WP_130565713.1,7.10E-165
nifB,K02585,GCF_004284785.1,*,WP_165419238.1,7.90E-174
nifH,K02588,GCF_004297185.1,*,WP_130646336.1,2.10E-137
nifB,K02585,GCF_004297185.1,*,WP_130647552.1,1.80E-144
nifH,K02588,GCF_004306555.1,*,WP_003563197.1,1.10E-144
nifD,K02586,GCF_004306555.1,*,WP_032491849.1,8.00E-209
nifK,K02591,GCF_004306555.1,*,WP_032491850.1,1.40E-186
nifE,K02587,GCF_004306555.1,*,WP_032491851.1,3.90E-215
nifB,K02585,GCF_004306555.1,*,WP_032491861.1,2.20E-187
nifN,K02592,GCF_004306555.1,*,WP_130660446.1,8.20E-168
nifH,K02588,GCF_004309735.1,*,WP_118228767.1,2.00E-148
nifK,K02591,GCF_004309735.1,*,WP_130957982.1,1.50E-158
nifE,K02587,GCF_004309735.1,*,WP_130957983.1,1.90E-175
nifB,K02585,GCF_004309735.1,*,WP_130957984.1,1.30E-164
nifN,K02592,GCF_004309735.1,*,WP_130957984.1,1.30E-144
nifD,K02586,GCF_004309735.1,*,WP_207287335.1,4.50E-191
nifH,K02588,GCF_004310395.1,*,WP_131007156.1,3.20E-132
nifB,K02585,GCF_004310395.1,*,WP_131007430.1,4.10E-125
nifB,K02585,GCF_004319545.1,*,WP_111958198.1,7.40E-158
nifH,K02588,GCF_004319545.1,*,WP_111960560.1,7.60E-146
nifD,K02586,GCF_004319545.1,*,WP_111960566.1,1.50E-191
nifK,K02591,GCF_004319545.1,*,WP_111960568.1,2.10E-167
nifE,K02587,GCF_004319545.1,*,WP_111960570.1,1.70E-179
nifN,K02592,GCF_004319545.1,*,WP_111960572.1,8.40E-172
nifB,K02585,GCF_004319545.1,*,WP_111960574.1,4.90E-153
nifK,K02591,GCF_004323185.1,*,WP_017312632.1,1.10E-158
nifN,K02592,GCF_004323185.1,*,WP_131114829.1,2.40E-195
nifE,K02587,GCF_004323185.1,*,WP_131114832.1,4.60E-247
nifB,K02585,GCF_004323185.1,*,WP_131114850.1,2.10E-213
nifH,K02588,GCF_004323185.1,*,WP_196797878.1,9.40E-154
nifB,K02585,GCF_004327335.1,*,WP_131183818.1,5.90E-212
nifH,K02588,GCF_004327335.1,*,WP_131183834.1,2.10E-153
nifD,K02586,GCF_004327335.1,*,WP_131183835.1,7.50E-213
nifK,K02591,GCF_004327335.1,*,WP_131183836.1,3.40E-189
nifE,K02587,GCF_004327335.1,*,WP_131183843.1,2.00E-226
nifN,K02592,GCF_004327335.1,*,WP_131183844.1,2.10E-178
nifB,K02585,GCF_004328075.1,*,WP_131309274.1,2.90E-203
nifH,K02588,GCF_004328075.1,*,WP_131309303.1,2.90E-147
nifD,K02586,GCF_004328075.1,*,WP_131309313.1,1.40E-211
nifK,K02591,GCF_004328075.1,*,WP_131309315.1,1.20E-192
nifN,K02592,GCF_004328075.1,*,WP_131309321.1,4.20E-187
